
Name                         Lines Directory
DashboardView.tsx               95 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ClinicalGuideModal.tsx          91 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SidebarCalendar.tsx             91 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
DocumentRepository.ts           91 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
MobileBottomNav.tsx             89 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
PhaseProgress.tsx               87 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Navigation.tsx                  87 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
GdsTemplate.tsx                 87 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
EvaluationTab.tsx               86 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ReloadPrompt.tsx                85 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
GDSSelectionCards.tsx           83 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
PremiumSplash.tsx               82 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
usePatientController.ts         82 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
InvoiceRepository.ts            82 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
MonthCalendar.tsx               81 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SessionTimeline.tsx             81 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useImageUpload.ts               80 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Hero.tsx                        80 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useSessionController.ts         78 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
AppLayout.tsx                   76 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
index.js                        71 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
PatientDetailTitanium.tsx       71 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
firestore.test.ts               71 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
CustomerRadar.tsx               68 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
services.ts                     68 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
AuthContext.tsx                 68 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
PostItWidget.tsx                67 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ClinicalSummaryCard.tsx         67 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useActivityLog.ts               66 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
NoteRepository.ts               65 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ReportRepository.ts             65 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useDocumentController.ts        64 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
